First,Last,Invitation Source
Junichi,Adachi,Deferred from PT ECL
January,Adams,Regional Championship - CA
Aaron,Angeles,Deferred from PT ECL
William,Araujo,39+ AMP (Post PT ECL)
David,Åstrand,Arena Championship 11 - Top 16
William,Au,Regional Championship - SEA
Huaxing,Bai,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Christian,Baker,39+ AMP (Post PT ECL)
Edgar,Baumler,Regional Championship - EMEA
Jake,Beardsley,Regional Championship - US #1
Jon,Beitler,Regional Championship - US #1
Julio,Bejarano,Deferred from PT ECL
Marco,Belacca,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Denis,Beqiri,Deferred from PT ECL
George,Berrett,Regional Championship - EMEA
Timo,Bertram,Deferred from PT ECL
Mikey,Bishara,39+ AMP (Post PT ECL)
Timothée,Blondiaux,Magic Spotlight: Avatar (Lyon)
Sam,Bogue,Regional Championship - US #2
Gabriel,Bostic,Deferred from PT ECL
Mike,Boulinguiez,Regional Championship - EMEA
Adam,Brace,39+ AMP (Post PT ECL)
Antonin,Branis,MTGO Champions Showcase Invitee
Ryan,Brozovich,Regional Championship - US #1
Mason,Buonadonna,39+ AMP (Post PT ECL)
Corey,Burkhart,Magic Spotlight: Avatar (Atlanta)
Mike,Byrd,Regional Championship - US #1
Christian,Calcano,Magic Spotlight: ECL (Toronto)
Marco,Cammilluzzi,PT ECL 30+ Match Points
Isabel,Castillo,Regional Championship - MCC
Marcelo,Cavalcante,Arena Championship 11 - Top 16
Winston,Chamora,Deferred from PT ECL
Samuel,Chang,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Thirawat,Chaovarindr,39+ AMP (Post PT ECL)
Arrick,Chaulk,Deferred from PT ECL
Xinrong,Chen,Deferred from PT ECL
Yang,Chen,Deferred from PT ECL
Sajan,Cherukad,Deferred from PT ECL
Vincent,Choy,Regional Championship - CA
Oliver,Coffey,Regional Championship - US #1
Ryan,Condon,39+ AMP (Post PT ECL)
Albert,Cordobés,Deferred from PT ECL
Nicolas,Cosgrove,Deferred from PT ECL
Matthew,Costa,39+ AMP (Post PT ECL)
Robin,Courtiat,Deferred from PT ECL
Brian,Coval,Regional Championship - US #2
Matheus,Crusius,Regional Championship - SA
Anthony,Cuello,Deferred from PT ECL
Andrew,Cuneo,Arena Championship 11 - Top 16
Xiangjun,Dai,Deferred from PT ECL
Nam,Dang,Regional Championship - CA
Aylin,Davis,Regional Championship - US #1
Derrick,Davis,World Championship 31 Top 8; 39+ AMP (Post PT ECL)
Carlo,De Gaetano,Regional Championship - EMEA
Marco,Del Pivo,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Jean-Emmanuel,Depraz,World Championship 31 Top 8; 39+ AMP (Post PT ECL)
Nick,Deriu,PT ECL 30+ Match Points
Davor,Detecnik,39+ AMP (Post PT ECL); Arena Championship 11 - Top 16
James,Dimitrov,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Shawn,Doherty,Arena Championship 11 - Top 16
Javier,Dominguez,39+ AMP (Post PT ECL)
Arch,Dota,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Kenith,Dsouza,39+ AMP (Post PT ECL)
Eleanor,Dubreuil,Regional Championship - CA
Lucas,Duchow,39+ AMP (Post PT ECL)
Reid,Duke,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Willy,Edel,39+ AMP (Post PT ECL); Magic Spotlight: Avatar (Lyon)
Adam,Edelson,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Terry,Edwards,Regional Championship - US #2
Andrew,Elenbogen,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Charles,Eliatamby,Regional Championship - EMEA
Neil,Estrada,Regional Championship - US #2
Julius,Fan,Regional Championship - US #1
Percy,Fang,39+ AMP (Post PT ECL)
Noé,Fauquenoi,MTGO Champions Showcase Invitee
Zevin,Faust,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Isael,Feitosa,Regional Championship - SA
Hao,Feng,Deferred from PT ECL
Alvaro,Fernandez Torres,PT ECL Second Chance PTQ
Mateo,Ferreira,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Nico,Ferrigno,Regional Championship - US #1
Pedro,Flores,Deferred from PT ECL
Zach,Flynn,Regional Championship - US #2
Elliot,Fortier,Regional Championship - CA
Mae,French,Regional Championship - US #2
Alex,Friedrichsen,39+ AMP (Post PT ECL)
Paul,Gabat,Regional Championship - SEA
Gregorio,Galeotti,Regional Championship - EMEA
Steve,Gan,Deferred from PT ECL
Sergio,Garcia,Regional Championship - EMEA
Andy,Garcia-Romo,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
Ryan,Gassaway,Deferred from PT ECL
Kyle,Gibson,Regional Championship - ANZ
Haven,Gilbert-Avila,Regional Championship - US #2
Luís,Gobern,39+ AMP (Post PT ECL)
Daniel,Goetschel,39+ AMP (Post PT ECL); PT ECL 30+ Match Points
